Name,State,ID,Longitude,Latitude,geometry
Coronado Trail,Arizona,416,-109.15281999999999,33.80392,POINT (-109.15282 33.80392)
Corral,Utah,1236,-110.37906000000001,39.65795,POINT (-110.37906 39.65795)
Corral Canyon,Nevada,417,-115.54016999999999,40.27551,POINT (-115.54017 40.27551)
Corral Pass,Washington,418,-121.46463999999999,47.01872,POINT (-121.46464 47.01872)
Cottonwood Creek,Wyoming,419,-110.81482,42.6459,POINT (-110.81482 42.6459)
Cottonwood Lakes,California,CWD,-118.177,36.483000000000004,POINT (-118.177 36.483)
Cougar Mountain,Washington,420,-121.67138,47.27666,POINT (-121.67138 47.27666)
County Line,Oregon,422,-118.55015,45.19107,POINT (-118.55015 45.19107)
Cozy Cove,Idaho,423,-115.65508,44.28846,POINT (-115.65508 44.28846)
Crab Creek,Idaho,424,-111.99383999999999,44.437,POINT (-111.99384 44.437)
Crater Meadows,Idaho,425,-115.28903000000001,46.56394,POINT (-115.28903 46.56394)
Crazyman Flat,Oregon,1010,-120.94917,42.6381,POINT (-120.94917 42.6381)
Crescent Lake #1,Minnesota,2002,-93.95,45.41667,POINT (-93.95 45.41667)
Crosho,Colorado,426,-107.0575,40.16745,POINT (-107.0575 40.16745)
Crow Creek,Wyoming,1045,-105.38278000000001,41.2287,POINT (-105.38278 41.2287)
Crowder Flat,California,977,-120.75202,41.89318,POINT (-120.75202 41.89318)
Crystal Lake,Montana,427,-109.51205,46.78942,POINT (-109.51205 46.78942)
Css Lab,California,428,-120.36806999999999,39.32565,POINT (-120.36807 39.32565)
Culebra #2,Colorado,430,-105.19958999999999,37.20945,POINT (-105.19959 37.20945)
Cumbres Trestle,Colorado,431,-106.45178999999999,37.01878,POINT (-106.45179 37.01878)
Currant Creek,Utah,432,-111.08993000000001,40.35747,POINT (-111.08993 40.35747)
Daisy Peak,Montana,919,-110.33022,46.66858,POINT (-110.33022 46.66858)
Daly Creek,Montana,433,-113.8533,46.18367,POINT (-113.8533 46.18367)
Daly Lake,Oregon,434,-122.08718,44.52147,POINT (-122.08718 44.52147)
Dana Meadows,California,DAN,-119.257,37.897,POINT (-119.257 37.897)
Daniels-Strawberry,Utah,435,-111.25676999999999,40.2953,POINT (-111.25677 40.2953)
Darkhorse Lake,Montana,436,-113.58448,45.17367,POINT (-113.58448 45.17367)
Deadman Creek,Montana,437,-110.67545,46.792790000000004,POINT (-110.67545 46.79279)
Deadman Creek,California,DDM,-119.65299999999999,38.332,POINT (-119.653 38.332)
Deadman Hill,Colorado,438,-105.76993,40.80571,POINT (-105.76993 40.80571)
Deadwood Summit,Idaho,439,-115.5638,44.54514,POINT (-115.5638 44.54514)
Deer Park,Wyoming,923,-108.90273,42.590759999999996,POINT (-108.90273 42.59076)
Derr.,Oregon,440,-119.93012,44.4465,POINT (-119.93012 44.4465)
Devils Postpile,California,DPO,-119.085,37.629,POINT (-119.085 37.629)
Diamond Lake,Oregon,442,-122.14003000000001,43.187870000000004,POINT (-122.14003 43.18787)
Diamond Peak,Nevada,443,-115.84421,39.56361,POINT (-115.84421 39.56361)
