Name,ID,Elevation_ft,Latitude,Longitude,HUC
Pole Canyon,"1244	",7760,40.86293,-115.12067,"160600071101	"
Pole Creek R.S.,"698	",8360,41.87255,-115.24713,"170501021002	"
Poorman Creek,"932	",5100,48.12672,-115.62333,"170101011301	"
Pope Ridge,"699	",3590,47.9909,-120.56622,"170200100204	"
Porcupine,"700	",6500,46.11192,-110.4696,"100700030303	"
Porphyry Creek,"701	",10760,38.48884,-106.33965,"140200030105	"
Port Graham,"987	",300,59.35065,-151.84768,"190203011208	"
Porter Canyon,"2170	",7187,39.46544,-117.62069,"160600020102	"
Potato Hill,"702	",4510,46.34963,-121.51435,"170800040303	"
Powder River Pass,"703	",9480,44.16188,-107.12622,"100800080304	"
Prairie,"704	",4800,43.50513,-115.573,"170501131103	"
Promontory,"705	",7930,34.36824,-111.01084,"150200080306	"
Pulpit Lake,"4A09P	",4367,57.53333,-126.73333,"	"
Quaking Aspen,"QUA	",7200,36.122,-118.545,"180300060101	"
Quartz Mountain,"706	",5720,42.31923,-120.82533,"180102020404	"
Quartz Peak,"707	",4700,47.87927,-117.08938,"170103080302	"
Quemazon,"708	",9500,35.92244,-106.39203,"130201011303	"
Rabbit Ears,"709	",9400,40.36783,-106.74038,"140500010402	"
Ragged Mountain,"1081	",4210,47.85583,-117.03667,"170103050302	"
Railroad Overpass,"710	",2680,43.65887,-122.21272,"170900010302	"
Rainbow Canyon,"1110	",7860,36.2493,-115.62972,"150100150301	"
Rainy Pass,"711	",4890,48.51865,-120.7358,"171100050503	"
Rattlesnake,"RTL	",6100,40.125,-121.043,"180201220901	"
Rawah,"1032	",9020,40.7075,-106.0076,"101800010603	"
Red Hill,"712	",4410,45.4643,-121.70428,"170701050505	"
Red Mountain Pass,"713	",11200,37.8918,-107.71342,"140801040103	"
Red Pine Ridge,"714	",8988,39.45197,-111.27221,"140600090202	"
Red River Pass #2,"715	",9850,36.69925,-105.34125,"130201010301	"
Red Rock Mountain,"RRM	",6700,41.023,-122.885,"180102110501	"
Redden Mine Lwr,"1225	",8532,40.67505,-111.21765,"160201010103	"
Redfish Creek,"2D14P	",6844,49.68333,-117.08333,"170101041810	"
Rees Flat,"1217	",7206,39.49667,-111.72508,"160300050202	"
Reno Hill,"716	",8400,42.57111,-106.08889,"101800070901	"
Revolution Creek,"1A17P	",5499,53.78333,-120.36667,"	"
Rex River,"911	",3810,47.30218,-121.60475,"171100120102	"
Reynolds Creek,"2029	",5600,43.28863,-116.8431,"170501030604	"
Rice Park,"933	",8460,35.23333,-108.26667,"130202070203	"
Rio Santa Barbara,"1254	",10664,36.07192,-105.62947,"130201010905	"
Ripple Creek,"717	",10340,40.10812,-107.29411,"140500050102	"
Roach,"718	",9700,40.87502,-106.04603,"101800100106	"
Roaring River,"719	",4950,43.90098,-122.03063,"170900040302	"
Robbs Powerhouse,"BLC	",5150,38.903,-120.375,"180201290203	"
Robbs Saddle,"RBB	",5900,38.912,-120.378,"180201290203	"
Robinson Cow Camp,"RCC	",6480,39.623,-120.678,"180201250102	"
Rock Creek,"720	",7886,40.54875,-110.69292,"140600030304	"
Rock Creek Lakes,"RCK	",9700,37.458,-118.735,"180901020301	"
Rock Springs,"721	",5290,44.00883,-118.83842,"170501160204	"
Rocker Peak,"722	",8000,46.35613,-112.26176,"100200060302	"
Rocky Basin-Settleme,"723	",8704,40.44293,-112.22377,"160203040401	"
Rocky Boy,"917	",4700,48.17478,-109.64728,"100500040101	"
Rough And Tumble,"939	",10360,39.03333,-106.08333,"101900010202	"
Rubicon #2,"724	",7619,38.99927,-120.13139,"160501010402	"
S Fork Shields,"725	",8100,46.0896,-110.43363,"100700030301	"
Sacajawea,"929	",6550,45.87395,-110.92783,"100700030403	"
Saddle Mountain,"726	",3110,45.54477,-123.37315,"170900100201	"
Saddle Mtn.,"727	",7940,45.69259,-113.96828,"170102050502	"
Sage Creek Basin,"1015	",7850,41.401,-107.25717,"101800020802	"
Saint Elmo,"1100	",10540,38.69978,-106.36801,"110200010501	"
Salmon Meadows,"728	",4460,48.65518,-119.8383,"170200062003	"
Salt Creek Falls,"729	",4220,43.61193,-122.11758,"170900010301	"
Salt River Summit,"730	",7640,42.5075,-110.9099,"170401050101	"
